22:11:24.235 INFO  ServiceLayer- editCategory - The user performing the operation does not exist in the system 
22:11:25.518 INFO  CinemaSystem - addCafeteriaProduct - The operation cannot be completed - the user is not connected to the system 
22:11:25.518 INFO  CinemaSystem - addCafeteriaProduct - User does not have proper permissions 
22:11:25.527 INFO  CinemaSystem - editCafeteriaProduct - The operation cannot be completed - the user is not connected to the system 
22:11:25.527 INFO  CinemaSystem - editCafeteriaProduct - User does not have proper permissions 
22:11:25.530 INFO  CinemaSystem - removeCafeteriaProduct - The operation cannot be completed - the user is not connected to the system 
22:11:25.530 INFO  CinemaSystem - removeCafeteriaProduct - User does not have proper permissions 
22:11:25.536 INFO  CinemaSystem - removeCafeteriaProduct - The operation cannot be completed - the user is not connected to the system 
22:11:25.536 INFO  CinemaSystem - removeCafeteriaProduct - User does not have proper permissions 
22:11:25.538 INFO  ServiceLayer- addNewProduct - dummy 
22:11:25.548 INFO  CinemaSystem - addCafeteriaProduct - The operation cannot be completed - the user is not connected to the system 
22:11:25.548 INFO  CinemaSystem - addCafeteriaProduct - User does not have proper permissions 
22:11:25.550 INFO  ServiceLayer- removeProduct - dummy 
22:11:25.554 INFO  CinemaSystem - editCafeteriaProduct - The operation cannot be completed - the user is not connected to the system 
22:11:25.554 INFO  CinemaSystem - editCafeteriaProduct - User does not have proper permissions 
22:11:27.096 INFO  CinemaSystem - addCafeteriaOrder - The operation cannot be completed - the user is not connected to the system 
22:11:27.100 INFO  CinemaSystem - addCafeteriaOrder - The operation cannot be completed - the user is not connected to the system 
22:11:27.100 INFO  CinemaSystem - addCafeteriaOrder - User does not have proper permissions 
22:11:27.109 INFO  CinemaSystem - addCafeteriaOrder - The operation cannot be completed - the user is not connected to the system 
22:11:27.110 INFO  CinemaSystem - addCafeteriaOrder - The operation cannot be completed - the user is not connected to the system 
22:11:27.110 INFO  CinemaSystem - addCafeteriaOrder - User does not have proper permissions 
22:11:29.236 INFO  CinemaSystem - register - The following data provided is invalid: Permission  
22:11:29.237 INFO  ServiceLayer - The addNewEmployee process failed - the dummy , who initiated the operation, does not exist in the system 
22:11:29.238 INFO  ServiceLayer - The addNewEmployee process failed - the userUserName exists on the system. 
22:11:29.246 INFO  CinemaSystem - addNewEmployee - The operation cannot be completed - the user is not connected to the system 
22:11:29.251 INFO  ServiceLayer - The addNewEmployee process failed - the dummy , who initiated the operation, does not exist in the system 
22:11:29.252 INFO  ServiceLayer - The addNewEmployee process failed - the userUserName exists on the system. 
22:11:29.256 INFO  EmployeeManagemnt- addNewEmployee - The adminUserName already exist 
22:11:29.257 INFO  CinemaSystem - addNewEmployee - The operation cannot be completed - the user is not connected to the system 
22:11:31.105 INFO  CinemaSystem - getReport - The operation cannot be completed - the user is not connected to the system 
22:11:31.105 INFO  CinemaSystem - getReport - The operation cannot be completed - the user is not connected to the system 
22:11:31.105 INFO  CinemaSystem - getReport - User does not have proper permissions 
18:01:14.503 INFO  InventoryManagemnt - editSupplier - The supplier 0 set to the Supplier dictionary 
19:39:29.437 INFO  User - login - The admin already connected 
20:03:06.663 INFO  ServiceLayer- removeMovie - Movie Name is not valid 
20:03:08.151 INFO  ServiceLayer- editMovie - Movie Name is not valid 
20:03:09.610 INFO  ServiceLayer- removeMovie - Movie Name is not valid 
20:04:08.055 INFO  ServiceLayer- removeMovie - Movie Name is not valid 
20:04:09.549 INFO  ServiceLayer- editMovie - Movie Name is not valid 
20:04:11.042 INFO  ServiceLayer- removeMovie - Movie Name is not valid 
14:21:04.322 INFO  ServiceLayer- getReport - Type is not valid 
14:21:25.474 INFO  ServiceLayer- getReport - Type is not valid 
14:28:13.139 INFO  ServiceLayer- addCafeteriaOrder - Supplier Name is not valid 
14:28:33.222 INFO  CinemaSystem - addNewEmployee - The following data provided is invalid: User name , Password , Permission  
14:28:43.815 INFO  CinemaSystem - addNewEmployee - The following data provided is invalid: User name , Password  
14:28:50.960 INFO  ServiceLayer - The addNewEmployee process failed - the admin exists on the system. 
14:43:45.912 INFO  InventoryManagemnt - editSupplier - The supplier 0 set to the Supplier dictionary 
19:46:41.891 INFO  InventoryManagemnt - editSupplier - The supplier 0 set to the Supplier dictionary 
20:18:57.344 INFO  ServiceLayer - The logout process failed - the null isn't exists on the system. 
20:19:29.792 INFO  ServiceLayer - The logout process failed - the null isn't exists on the system. 
20:20:30.754 INFO  ServiceLayer- addNewSupplier - Supplier Name is not valid 
20:20:41.211 INFO  ServiceLayer - The logout process failed - the null isn't exists on the system. 
20:35:02.558 INFO  InventoryManagemnt - editSupplier - The supplier 0 set to the Supplier dictionary 
20:35:43.464 INFO  InventoryManagemnt - editSupplier - The supplier 0 set to the Supplier dictionary 
20:35:56.132 INFO  ServiceLayer - The logout process failed - the null isn't exists on the system. 
20:36:10.538 INFO  User - login - The admin already connected 
20:36:46.524 INFO  InventoryManagemnt - editSupplier - The supplier 0 set to the Supplier dictionary 
20:37:12.382 INFO  ServiceLayer - The logout process failed - the null isn't exists on the system. 
20:37:39.074 INFO  User - login - The admin already connected 
20:39:19.425 INFO  ServiceLayer - The editEmployee process failed - the null , who initiated the operation, does not exist in the system 
20:39:25.608 INFO  ServiceLayer - The deleteEmployee process failed - the null , who initiated the operation, does not exist in the system 
20:39:31.316 INFO  ServiceLayer - The logout process failed - the null isn't exists on the system. 
